pango_lineage	breakpoint	github_issue	region	clades
XD	21643,25581	444	International	Delta,BA.1
XD	21763:22577	439	International	Delta,BA.1
XD	22029	437	International	Delta,BA.1
XE	10450:11536	454	UK	BA.1,BA.2
XF	5386	445	UK	Delta,BA.1
XF	21619:21761	441	UK	Delta,BA.1
XF	18164:19219	422	UK	Delta,BA.1
XG	5387:8392	447	International	BA.1,BA.2
XH	10450:11536	448	International	BA.1,BA.2
XJ	13448	449	International	BA.1,BA.2
XK	18163	460	International	BA.1,BA.2
XL	8393	464	UK	BA.1,BA.2
XM	18163	468	International	BA.1,BA.2
XN	3241	480	UK	BA.1,BA.2
XP	26060	481	UK	BA.1,BA.2
XQ	4322:5385	468	UK	BA.1,BA.2
XR	4322:4891	469	UK	BA.1,BA.2
XS	9055:10447	471	International	Delta,BA.1
