strain	date	country	pango_lineage	clade_membership	division	region	genbank_accession	author	dataset
USA/MD-CDC-ASC210277356/2021	2021-08-05	USA	B	19A	Maryland	North America	OK079939.1	Howard et al C	controls-negative
GHA/1651_S3/2020	2020-03-25	Ghana	A.11	19B	Ghana	Africa	MT890220.1	Ngoi et al	controls-negative
England/MILK-1567218/2021	2021-05-08	United Kingdom	B.1.620	20A	England	Europe	OU278597.1	The Lighthouse Lab in Milton et al A	controls-negative
Estonia/Cov0319/2020	2020-09-17	Estonia	B.1.1.10	20B	Estonia	Europe	OU278317.1	Avi et al	controls-negative
Iceland/1173/2020	2020-03-30	Iceland	B.1	20C	Iceland	Europe	OU181114.1	Jonsson et al A	controls-negative
EGY/CUNCI-HGC09I030/2020	2020-12-25	Egypt	C.36	20D	Egypt	Africa	MW547502.1	Zekri et al	controls-negative
NZL/20CV0589/2020	2020-11-18	New Zealand	B.1.177.51	20E (EU1)	Auckland	Oceania	OK426660.1	Ren et al	controls-negative
AUS/VIC3454/2020	2020-07-05	Australia	D.2	20F	Victoria	Oceania	MT972589.1	Sait et al C	controls-negative
USA/JDYI/2020	2020-10-27	USA	B.1.2	20G	Alabama	North America	MW923885.1	Grimwood et al	controls-negative
FRA/IHUCOVID-036058-NovaE/2021	2021-04-09	France	B.1.351.2	20H (Beta, V2)	France	Europe	ON279241.1	Levasseur et al B	controls-negative
England/MILK-BDC2A2/2020	2020-11-26	United Kingdom	B.1.1.7	20I (Alpha, V1)	England	Europe	OD905376.1	The Lighthouse Lab in Milton et al B	controls-negative
BRA/PR-NVBS936GENOV827686254257/2021	2021-06-09	Brazil	P.1	20J (Gamma, V3)	Brazil	South America	ON577540.1	Guarischi et al	controls-negative
USA/CA-CDC-QDX26400331/2021	2021-06-28	USA	B.1.617.2	21A (Delta)	California	North America	MZ590769.1	Howard et al R	controls-negative
England/MILK-1564EF9/2021	2021-05-07	United Kingdom	B.1.617.1	21B (Kappa)	England	Europe	OU279226.1	The Lighthouse Lab in Milton et al A	controls-negative
USA/CA-CZB-22906/2021	2021-01-04	USA	B.1.429	21C (Epsilon)	California	North America	MW701160.1	Consortium et al	controls-negative
England/CAMC-1395ED3/2021	2021-03-03	United Kingdom	B.1.525	21D (Eta)	England	Europe	OU054628.1	Howes et al A	controls-negative
USA/GU-CDC-2-3906074/2021	2021-01-31	USA	P.3	21E (Theta)	Guam	North America	MZ779587.1	Sheth et al C	controls-negative
USA/NY-CDC-LC0031214/2021	2021-03-15	USA	B.1.526	21F (Iota)	New York	North America	MW987419.1	Howard et al Z	controls-negative
Switzerland/ZH-UZH-IMV-3ba4d945/2021	2021-08-02	Switzerland	C.37.1	21G (Lambda)	Zürich	Europe	OU576905.1	? F	controls-negative
USA/FL-CDC-FG-022848/2021	2021-04-12	USA	B.1.621	21H (Mu)	Florida	North America	OK213902.1	Howard et al AQ	controls-negative
