strain	date	country	pango_lineage	clade_membership	division	region	genbank_accession	author	dataset
FRA/IHUMI-6070VR/2022	2022-02-09	France	XD			Europe	OM990739.1	NA	controls-positive
FRA/IHUCOVID-64762/2022	2022-02-09	France	XD			Europe	OM990851.1	NA	controls-positive
England/MILK-3729AD6/2022	2022-02-16	England	XE			Europe	OW016842.1	NA	controls-positive
England/BRBR-3899D04/2022	2022-02-27	England	XE			Europe	OW137497.1	NA	controls-positive
England/MILK-36E1AF9/2022	2022-02-14	England	XF			Europe	OW002725.1	NA	controls-positive
England/MILK-327F0C5/2022	2022-01-14	England	XF			Europe	OV738853.1	NA	controls-positive
England/MILK-3795589/2022	2022-02-19	England	XG			Europe	OW091023.1	NA	controls-positive
Scotland/QEUH-37E04A0/2022	2022-02-21	Scotland	XG			Europe	OW084783.1	NA	controls-positive
England/MILK-37D141B/2022	2022-02-20	England	XH			Europe	OW042525.1	NA	controls-positive
England/MILK-385C31A/2022	2022-02-24	England	XH			Europe	OW126705.1	NA	controls-positive
England/MILK-393A26F/2022	2022-03-04	England	XJ			Europe	OW197337.1	NA	controls-positive
England/MILK-3BFC759/2022	2022-03-23	England	XL			Europe	OW360896.1	NA	controls-positive
England/LSPA-3CC763B/2022	2022-03-28	England	XL			Europe	OW490144.1	NA	controls-positive
USA/NY-Broad-CRSP_WH5TJZ42BYV4BC3T/2022	2022-03-28	USA	XM			North America	ON199453.1	NA	controls-positive
England/MILK-3796834/2022	2022-02-19	England	XM			Europe	OW090848.1	NA	controls-positive
England/LSPA-3B89478/2022	2022-03-20	England	XN			Europe	OW322926.1	NA	controls-positive
England/MILK-3B62C6E/2022	2022-03-19	England	XN			Europe	OW320124.1	NA	controls-positive
Wales/LSPA-3A9969E/2022	2022-03-13	Wales	XR			Europe	OW286587.1	NA	controls-positive
England/LSPA-3B0E8AC/2022	2022-03-15	England	XR			Europe	OW288317.1	NA	controls-positive
Scotland/QEUH-38D11C8/2022	2022-03-02	Scotland	XP			Europe	OW159779.1	NA	controls-positive
Scotland/QEUH-38CEA2D/2022	2022-03-02	Scotland	XP			Europe	OW156660.1	NA	controls-positive
USA/OH-CDC-MMB14658183/2022	2022-03-07	USA	XS			North America	OM981060.1	NA	controls-positive
USA/CO-CDC-FG-248528/2022	2022-01-19	USA	XS			North America	OM477123.1	NA	controls-positive
England/MILK-38AA91B/2022	2022-02-28	England	XQ			Europe	OW192527.1	NA	controls-positive
England/LSPA-3943EF6/2022	2022-03-05	England	XQ			Europe	OW142543.1	NA	controls-positive
Switzerland/BE-ETHZ-37580626/2022	2022-05-25	Switzerland	XAN			Europe	OX101390.1	NA	controls-positive
USA/CA-CDC-QDX37910441/2022	2022-06-09	USA	XAN			North America	ON847076.1	NA	controls-positive
Denmark/OX236618.1/2022	2022-07-06	Denmark	XAK			Europe	OX236618.1	NA	controls-positive
